Brand,Model,YOM,Engine (cc),Gear,Fuel Type,Millage(KM),Condition,Price
BMW,Other,2018,1500.0,1,Petrol,77000.0,1.0,218.75
BMW,Other,2018,1499.0,1,Petrol,77000.0,1.0,250.0
BMW,Other,2018,1500.0,1,Petrol,77000.0,1.0,250.0
BMW,Other,2018,1500.0,1,Petrol,77000.0,1.0,280.0
BMW,Other,2018,1500.0,1,Petrol,77000.0,1.0,280.0
BMW,Other,2018,1500.0,1,Petrol,77000.0,1.0,275.0
BMW,Other,2017,1500.0,1,Petrol,88000.0,1.0,225.0
BMW,Other,2018,1500.0,1,Petrol,77000.0,1.0,280.0
BMW,Other,2011,2000.0,1,Diesel,154000.0,1.0,295.75
BMW,Other,2000,2000.0,0,Diesel,275000.0,1.0,54.5
BMW,Other,2011,2000.0,1,Diesel,154000.0,1.0,119.5
BMW,Other,2013,2000.0,1,Diesel,132000.0,1.0,190.0
BMW,Other,2013,2000.0,1,Diesel,132000.0,1.0,180.0
BMW,Other,2013,2000.0,1,Diesel,132000.0,1.0,179.0
BMW,Other,2007,1990.0,1,Petrol,198000.0,1.0,115.0
BMW,Other,2007,2000.0,1,Petrol,198000.0,1.0,115.0
BMW,Other,2007,2000.0,1,Petrol,198000.0,1.0,115.0
BMW,Other,2007,2000.0,1,Petrol,198000.0,1.0,115.0
BMW,Other,2007,2000.0,1,Petrol,198000.0,1.0,115.0
BMW,Other,2010,1997.0,1,Petrol,165000.0,1.0,123.125
BMW,Other,2006,2000.0,0,Petrol,209000.0,1.0,116.0
BMW,Other,2015,2000.0,1,Diesel,110000.0,1.0,350.0
BMW,Other,2017,2000.0,1,Petrol,88000.0,1.0,450.0
BMW,Other,2012,2000.0,1,Diesel,143000.0,1.0,228.0
BMW,Other,2012,1995.0,1,Diesel,143000.0,1.0,245.0
BMW,Other,2012,1995.0,1,Diesel,143000.0,1.0,220.0
BMW,Other,2012,2000.0,1,Diesel,143000.0,1.0,212.0
BMW,Other,2013,2000.0,1,Diesel,132000.0,1.0,264.0
BMW,Other,2012,1995.0,1,Diesel,143000.0,1.0,225.0
BMW,Other,2013,2000.0,1,Diesel,132000.0,1.0,264.0
BMW,Other,2015,2000.0,1,Diesel,110000.0,1.0,330.0
BMW,Other,2012,2000.0,1,Diesel,143000.0,1.0,198.0
BMW,Other,2013,2000.0,1,Diesel,132000.0,1.0,258.0
BMW,Other,2012,2000.0,1,Diesel,143000.0,1.0,220.0
BMW,Other,2013,2000.0,1,Diesel,132000.0,1.0,238.0
BMW,Other,2015,2000.0,1,Diesel,110000.0,1.0,360.0
BMW,Other,2012,1995.0,1,Diesel,143000.0,1.0,218.00002
BMW,Other,2005,2000.0,1,Petrol,220000.0,1.0,100.0
BMW,Other,2011,2000.0,1,Petrol,154000.0,1.0,178.0
BMW,Other,2011,2000.0,1,Petrol,154000.0,1.0,175.0
BMW,Other,1974,2000.0,0,Diesel,561000.0,1.0,14.5
BMW,Other,2017,1990.0,1,Hybrid,88000.0,1.0,364.5
BMW,Other,2017,1500.0,1,Petrol,88000.0,1.0,364.5
BMW,Other,2017,2000.0,1,Petrol,88000.0,1.0,364.5
BMW,Other,2017,1500.0,1,Petrol,88000.0,1.0,364.5
BMW,Other,2017,2200.0,1,Petrol,88000.0,1.0,460.0
BMW,Other,2011,3000.0,1,Petrol,154000.0,1.0,185.0
BMW,Other,2006,3000.0,1,Petrol,209000.0,1.0,175.0
BMW,Other,2011,3000.0,1,Petrol,154000.0,1.0,275.0
BMW,Other,2014,3000.0,1,Hybrid,121000.0,1.0,285.0
BMW,Other,2016,2000.0,1,Petrol,99000.0,1.0,575.0
BMW,Other,2011,2000.0,1,Diesel,154000.0,1.0,127.0
BMW,Other,1988,1800.0,0,Petrol,407000.0,1.0,28.5
BMW,Other,1991,1590.0,0,Petrol,374000.0,1.0,18.0
BMW,Other,1990,1796.0,0,Petrol,385000.0,1.0,29.5
BMW,Other,2002,2500.0,1,Petrol,253000.0,1.0,85.0
BMW,Other,2002,1980.0,0,Petrol,253000.0,1.0,65.0
BMW,Other,2000,2500.0,0,Diesel,275000.0,1.0,62.5
BMW,Other,2004,3000.0,1,Petrol,231000.0,1.0,95.0
BMW,Other,2017,2000.0,1,Petrol,88000.0,1.0,380.0
BMW,Other,2016,650.0,1,Hybrid,99000.0,1.0,167.0
BMW,Other,2016,650.0,1,Hybrid,99000.0,1.0,167.0
BMW,Other,2018,2990.0,1,Hybrid,77000.0,1.0,349.0
BMW,Other,2017,1500.0,1,Petrol,88000.0,1.0,225.0
BMW,Other,2018,2000.0,1,Petrol,77000.0,1.0,425.0
BMW,Other,2014,3000.0,1,Petrol,121000.0,1.0,355.0
BMW,Other,2012,4400.0,1,Petrol,143000.0,1.0,350.0
BMW,MINI COOPER,2020,1200.0,1,Petrol,55000.0,1.0,149.5
BMW,Other,2007,1590.0,1,Petrol,198000.0,1.0,89.5
BMW,Other,2015,1600.0,0,Petrol,110000.0,1.0,105.0
CHERY,Other,2015,1000.0,0,Petrol,110000.0,1.0,31.5
CHERY,QQ,2009,800.0,0,Petrol,176000.0,1.0,12.75
CHERY,QQ,2006,812.0,1,Petrol,209000.0,1.0,11.3
CHERY,QQ,2010,812.0,1,Petrol,165000.0,1.0,18.375
CHERY,QQ,2006,800.0,0,Petrol,209000.0,1.0,11.3
CHERY,QQ,2007,812.0,0,Petrol,198000.0,1.0,12.6
CHERY,QQ,2007,812.0,0,Petrol,198000.0,1.0,13.65
CHERY,QQ,2006,800.0,0,Petrol,209000.0,1.0,12.25
CHERY,QQ,2011,812.0,0,Petrol,154000.0,1.0,14.9
CHERY,QQ,2006,800.0,0,Petrol,209000.0,1.0,13.2
CHERY,QQ,2006,798.0,0,Petrol,209000.0,1.0,11.3
CHERY,QQ,2006,800.0,0,Petrol,209000.0,1.0,9.5
CHERY,QQ,2011,800.0,0,Petrol,154000.0,1.0,15.5
CHERY,QQ,2006,800.0,0,Petrol,209000.0,1.0,11.75
CHERY,QQ,2006,800.0,0,Petrol,209000.0,1.0,11.0
CHERY,QQ,2007,800.0,0,Petrol,198000.0,1.0,14.0
CHERY,QQ,2008,800.0,0,Petrol,187000.0,1.0,14.5
CHERY,QQ,2012,800.0,0,Petrol,143000.0,1.0,15.75
CHERY,QQ,2011,800.0,0,Petrol,154000.0,1.0,8.575000000000001
CHERY,QQ,2007,800.0,0,Petrol,198000.0,1.0,16.75
CHERY,QQ,2006,800.0,0,Petrol,209000.0,1.0,12.25
CHERY,QQ,2007,800.0,0,Petrol,198000.0,1.0,12.5
CHERY,QQ,2007,800.0,0,Petrol,198000.0,1.0,12.85
CHERY,QQ,2008,798.0,0,Petrol,187000.0,1.0,18.375
CHERY,QQ,2007,800.0,0,Petrol,198000.0,1.0,12.6
CHERY,QQ,2012,800.0,0,Petrol,143000.0,1.0,14.2
CHERY,QQ,2006,812.0,0,Petrol,209000.0,1.0,12.25
CHERY,QQ,2007,800.0,0,Petrol,198000.0,1.0,13.48
CHERY,QQ,2017,800.0,0,Petrol,88000.0,1.0,17.95
CHERY,QQ,2007,800.0,0,Petrol,198000.0,1.0,12.85
CHERY,QQ,2009,798.0,0,Petrol,176000.0,1.0,12.4
CHERY,QQ,2009,800.0,0,Petrol,176000.0,1.0,14.95
CHERY,QQ,2011,800.0,0,Petrol,154000.0,1.0,13.85
CHERY,QQ,2010,670.0,0,Petrol,165000.0,1.0,18.375
CHERY,QQ,2007,800.0,0,Petrol,198000.0,1.0,12.5
CHERY,QQ,2007,800.0,0,Petrol,198000.0,1.0,14.5
CHERY,QQ,2009,800.0,0,Petrol,176000.0,1.0,15.0
CHERY,Other,2007,800.0,0,Petrol,198000.0,1.0,13.0
CHERY,Other,2007,833.0,0,Petrol,198000.0,1.0,13.0
CHERY,Other,2006,800.0,0,Petrol,209000.0,1.0,13.25
CHERY,Other,2011,900.0,0,Petrol,154000.0,1.0,13.75
CHEVROLET,Other,2007,1400.0,0,Petrol,198000.0,1.0,31.0
CHEVROLET,Other,2008,1200.0,0,Petrol,187000.0,1.0,23.75
CHEVROLET,Other,2008,1400.0,0,Petrol,187000.0,1.0,35.5
CHEVROLET,Other,2007,1100.0,0,Petrol,198000.0,1.0,27.0
CHEVROLET,Other,2011,1200.0,0,Petrol,154000.0,1.0,27.5
CHEVROLET,CRUZE,2003,1300.0,1,Petrol,242000.0,1.0,35.5
CHEVROLET,CRUZE,2003,1300.0,1,Petrol,242000.0,1.0,34.85
CHEVROLET,CRUZE,2002,1300.0,1,Petrol,253000.0,1.0,35.85
CHEVROLET,CRUZE,2004,1320.0,1,Petrol,231000.0,1.0,37.375
CHEVROLET,CRUZE,2003,1320.0,1,Petrol,242000.0,1.0,39.5
CHEVROLET,CRUZE,2002,1320.0,1,Petrol,253000.0,1.0,39.9
